,1,2,3,4,5,6,7,8,9,Salary,Projection
181,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43900,110.58999999999999
182,Jared Cook,D'Andre Swift,Chuba Hubbard,Marvin Jones,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,44000,110.33999999999999
315,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Deonte Harris,Daniel Jones,Washington,43200,110.32000000000001
183,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43500,109.99
316,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Seattle,43300,109.89
62,Jared Cook,D'Andre Swift,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Mac Jones,Washington,43700,109.75
184,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,43700,109.71
63,Jared Cook,D'Andre Swift,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,43400,109.35
185,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43600,109.33999999999999
64,Jared Cook,Nick Chubb,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43300,109.24
317,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Jacksonville,42900,109.22999999999999
318,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Deonte Harris,Tyrod Taylor,Washington,43100,109.07
319,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42600,109.05
320,Dallas Goedert,Jared Cook,Najee Harris,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43000,108.98
65,Jared Cook,Nick Chubb,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,43500,108.96
321,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,42800,108.77
186,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43200,108.58
187,Jared Cook,Chuba Hubbard,Antonio Gibson,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43400,108.44
66,Jared Cook,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43000,108.07000000000001
67,Jared Cook,Nick Chubb,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,43100,107.94
322,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Carson Wentz,Washington,42700,107.86
68,Jared Cook,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,43200,107.79
188,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42900,107.79
189,Jared Cook,Najee Harris,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43300,107.72
323,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42300,107.64
190,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,43100,107.51
324,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,42500,107.36
69,Jared Cook,D'Andre Swift,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42900,107.19999999999999
325,Tyler Higbee,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42400,107.0
70,Jared Cook,Nick Chubb,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42700,106.66000000000001
191,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Carson Wentz,Washington,43000,106.60000000000001
192,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42800,106.53999999999999
193,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42600,106.38000000000001
326,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Mac Jones,Washington,42200,106.0
71,Jared Cook,Nick Chubb,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42600,105.78999999999999
72,Jared Cook,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Teddy Bridgewater,Washington,42800,105.7
327,Jared Cook,Hunter Henry,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42100,105.67999999999999
328,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41900,105.6
194,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Teddy Bridgewater,Washington,42700,105.42
195,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42500,105.13
329,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Justin Fields,Washington,42000,104.89999999999999
330,Jared Cook,Evan Engram,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41800,104.89
73,Jared Cook,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42300,104.62
331,Dallas Goedert,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41700,104.58999999999999
196,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42200,104.34
74,Jared Cook,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Detroit,42500,104.34
332,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41600,104.19
197,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Detroit,42400,104.06
