,1,2,3,4,5,6,7,8,9,Salary,Projection
26,Dallas Goedert,Darrell Henderson,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Patrick Mahomes,Detroit,57300,130.95000000000002
107,T.J. Hockenson,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,57700,130.92000000000002
108,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,57500,130.9
190,Dallas Goedert,Mo Alie-Cox,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57600,130.88
109,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,57400,130.72000000000003
110,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Terry McLaurin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,57600,130.63
191,T.J. Hockenson,Dallas Goedert,D'Andre Swift,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,57700,130.57
111,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57200,130.44
27,Mo Alie-Cox,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,57400,130.36
192,T.J. Hockenson,Dallas Goedert,D'Andre Swift,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57500,130.29000000000002
28,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Tee Higgins,Marquez Callaway,Josh Allen,Washington,57200,130.12
29,Mo Alie-Cox,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57100,129.9
30,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Tee Higgins,Marquez Callaway,Josh Allen,Detroit,57000,129.83999999999997
193,Dallas Goedert,Mo Alie-Cox,Darrell Henderson,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57400,129.64
112,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Minnesota,57300,129.15
31,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Daniel Jones,Detroit,56900,129.11
194,T.J. Hockenson,Dallas Goedert,Darrell Henderson,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57300,129.05
32,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Detroit,56800,129.03
113,T.J. Hockenson,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Washington,57100,128.90000000000003
114,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Jacksonville,56900,128.88
115,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,New York Jets,57000,128.72
116,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Washington,56800,128.7
195,T.J. Hockenson,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Cleveland,57000,128.62
196,Travis Kelce,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57200,128.5
197,T.J. Hockenson,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Denver,57100,128.49
