,1,2,3,4,5,6,7,8,9,Salary,Projection
151,Matt LaCosse,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,42300,90.3
308,Jared Cook,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42700,90.0
476,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,42200,89.9
309,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,42600,88.30000000000001
152,Jeff Heuerman,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42000,87.80000000000001
477,Gerald Everett,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42000,87.4
478,Jeff Heuerman,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41500,86.5
153,Gerald Everett,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42100,86.4
310,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,42300,85.7
479,Michael Roberts,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41700,85.69999999999999
154,Matt LaCosse,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41600,85.5
480,Gerald Everett,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41600,85.1
311,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42100,84.9
155,Michael Roberts,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41800,84.69999999999999
481,Derek Carrier,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,41800,84.5
312,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Case Keenum,Oakland Raiders,42400,84.30000000000001
156,Matt LaCosse,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,41700,83.8
313,Gerald Everett,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42200,83.5
482,Michael Roberts,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41300,83.4
157,Michael Roberts,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,41900,83.0
314,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41700,82.6
315,Michael Roberts,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41900,81.80000000000001
483,Michael Roberts,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,41400,81.7
484,Derek Carrier,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41200,81.4
316,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,41800,80.9
317,Michael Roberts,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,42000,80.10000000000001
158,Matt LaCosse,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Seth Roberts,Nick Mullens,Oakland Raiders,41400,80.0
159,Matt LaCosse,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Seth Roberts,Nick Mullens,San Francisco 49ers,41500,78.3
485,Michael Roberts,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Seth Roberts,Nick Mullens,Oakland Raiders,41100,77.9
486,Derek Carrier,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Seth Roberts,Nick Mullens,Oakland Raiders,41000,75.9
318,Matt LaCosse,Kyle Juszczyk,Phillip Lindsay,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41600,75.3
487,Michael Roberts,Matt LaCosse,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,40900,73.4
319,Matt LaCosse,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41300,72.6
320,Michael Roberts,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,41500,71.80000000000001
488,Derek Carrier,Matt LaCosse,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,40800,71.4
321,Matt LaCosse,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,41400,70.9
489,Michael Roberts,Matt LaCosse,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Seth Roberts,Nick Mullens,Oakland Raiders,40700,67.9
490,Derek Carrier,Matt LaCosse,Kyle Juszczyk,Jalen Richard,Courtland Sutton,Cordarrelle Patterson,Seth Roberts,Nick Mullens,Oakland Raiders,40600,65.9
