,1,2,3,4,5,6,7,8,9,Salary,Projection
691,Mike Gesicki,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41300,70.30000000000001
690,Mike Gesicki,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41300,70.30000000000001
456,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41400,70.2
208,Nick Boyle,Duke Johnson Jr.,Jacquizz Rodgers,Devontae Booker,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41500,69.6
209,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Mike Davis,Tre'Quan Smith,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41600,69.5
457,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41200,69.2
458,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41200,69.2
459,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41300,69.10000000000001
692,Nick Boyle,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Jermaine Kearse,Willie Snead IV,Tim Patrick,Nathan Peterman,Buffalo Bills,41200,69.0
694,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41100,68.7
693,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41100,68.7
210,Nick Boyle,Duke Johnson Jr.,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41300,68.6
211,Nick Boyle,Duke Johnson Jr.,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41300,68.6
695,Nick Boyle,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41000,68.5
212,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Mike Davis,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41400,68.10000000000001
460,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41000,67.8
461,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41000,67.8
696,Mike Gesicki,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40900,67.5
463,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Kelvin Benjamin,Nathan Peterman,Buffalo Bills,41100,67.4
462,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Kelvin Benjamin,Nathan Peterman,Buffalo Bills,41100,67.4
697,Nick Boyle,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40800,67.10000000000001
214,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Mike Davis,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41200,67.10000000000001
213,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Mike Davis,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41200,67.10000000000001
464,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40800,66.8
699,Nick Boyle,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40600,66.10000000000001
698,Nick Boyle,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40600,66.10000000000001
701,Mike Gesicki,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40500,65.10000000000001
700,Mike Gesicki,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40500,65.10000000000001
465,Darren Fells,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40900,65.0
215,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41100,64.9
703,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Denver Broncos,40700,64.1
704,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Washington Redskins,40700,64.1
702,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Washington Redskins,40700,64.1
705,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Denver Broncos,40700,64.1
216,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Devontae Booker,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40900,63.5
