Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295+AC0-27986,QB,C.J.,C.J. Beathard,Beathard,3.5766665141,6,6000,JAC+AEA-HOU,JAC,HOU,Q,Groin,,,,QB
107295+AC0-103824,QB,Easton,Easton Stick,Stick,9.7942853655,7,6000,KC+AEA-LAC,LAC,KC,,,,,,QB
107295+AC0-73118,QB,Ian,Ian Book,Book,,0,6000,KC+AEA-LAC,KC,LAC,,,,,,QB
107295+AC0-60840,QB,Jake,Jake Browning,Browning,12.5783335368,12,6000,CIN+AEA-CAR,CIN,CAR,,,,,,QB
107295+AC0-185776,QB,Tyson,Tyson Bagent,Bagent,11.8519996643,5,6000,LAR+AEA-CHI,CHI,LAR,,,,,,QB
107295+AC0-91583,QB,Stetson,Stetson Bennett,Bennett,,0,6000,LAR+AEA-CHI,LAR,CHI,,,,,,QB
107295+AC0-40407,QB,Joshua,Joshua Dobbs,Dobbs,16.2046156663,13,6000,NE+AEA-SF,SF,NE,,,,,,QB
107295+AC0-89607,QB,Tanner,Tanner McKee,McKee,0,1,6000,PHI+AEA-TB,PHI,TB,,,,,,QB
107295+AC0-60947,QB,Jarrett,Jarrett Stidham,Stidham,9.2133331299,3,6000,DEN+AEA-NYJ,DEN,NYJ,,,,,,QB
107295+AC0-89628,QB,Davis,Davis Mills,Mills,3.1600000858,1,6000,JAC+AEA-HOU,HOU,JAC,,,,,,QB
107295+AC0-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS+AEA-ARI,WAS,ARI,,,,,,QB
107295+AC0-30253,QB,Jeff,Jeff Driskel,Driskel,7.9699997902,2,6000,WAS+AEA-ARI,WAS,ARI,,,,,,QB
107295+AC0-112191,QB,John Rhys,John Rhys Plumlee,Plumlee,,0,6000,JAC+AEA-HOU,JAC,HOU,,,,,,QB
107295+AC0-40534,QB,Mike,Mike White,White,0.437142849,7,6000,BUF+AEA-BAL,BUF,BAL,,,,,,QB
107295+AC0-128693,RB,Tank,Tank Bigsby,Bigsby,4.0999999046,2,6000,JAC+AEA-HOU,JAC,HOU,,,,,,RB/FLEX
107295+AC0-93878,QB,Devin,Devin Leary,Leary,,0,6000,BUF+AEA-BAL,BAL,BUF,,,,,,QB
107295+AC0-73398,QB,Chris,Chris Oladokun,Oladokun,,0,6000,KC+AEA-LAC,KC,LAC,,,,,,QB
107295+AC0-69304,QB,Kyle,Kyle Trask,Trask,+AC0-0.200000003,1,6000,PHI+AEA-TB,TB,PHI,,,,,,QB
107295+AC0-52929,QB,Jake,Jake Luton,Luton,,0,6000,CIN+AEA-CAR,CAR,CIN,Q,Shoulder,,,,QB
107295+AC0-69333,QB,Jacob,Jacob Eason,Eason,,0,6000,MIN+AEA-GB,GB,MIN,,,,,,QB
107295+AC0-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,+AC0-0.0900000036,2,6000,BUF+AEA-BAL,BUF,BAL,,,,,,QB
107295+AC0-61157,QB,Brett,Brett Rypien,Rypien,2.8900001049,2,6000,MIN+AEA-GB,MIN,GB,,,,,,QB
107295+AC0-91898,QB,Dorian,Dorian Thompson+AC0-Robinson,Thompson+AC0-Robinson,2.9000000424,9,6000,CLE+AEA-LV,CLE,LV,,,,,,QB
107295+AC0-28434,QB,Trevor,Trevor Siemian,Siemian,6.1919998169,5,6000,DEN+AEA-NYJ,NYJ,DEN,,,,,,QB
107295+AC0-120639,WR,Quentin,Quentin Johnston,Johnston,12.0999997457,3,6000,KC+AEA-LAC,LAC,KC,,,,,,WR/FLEX
107295+AC0-85846,QB,Zack,Zack Annexstad,Annexstad,,0,6000,PHI+AEA-TB,TB,PHI,Q,Undisclosed,,,,QB
107295+AC0-8023,QB,Josh,Josh Johnson,Johnson,0,2,6000,BUF+AEA-BAL,BAL,BUF,,,,,,QB
107295+AC0-53095,QB,Kyle,Kyle Allen,Allen,+AC0-0.1857142789,7,6000,PIT+AEA-IND,PIT,IND,,,,,,QB
107295+AC0-14194,QB,Blaine,Blaine Gabbert,Gabbert,2.2249999046,4,6000,KC+AEA-LAC,KC,LAC,,,,,,QB
