Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-31047,QB,AJ,AJ McCarron,McCarron,0.4000000059604645,2,6000,ATL@MIA,ATL,MIA,IR,Knee - acl,,,,QB
65568-61798,QB,Gardner,Gardner Minshew II,Minshew II,18.351111518012154,9,6000,PHI@LV,PHI,LV,,,,,,QB
65568-149889,QB,Kenji,Kenji Bahar,Bahar,,,6000,CIN@BAL,BAL,CIN,,,,,,QB
65568-92560,QB,Sam,Sam Ehlinger,Ehlinger,,,6000,IND@SF,IND,SF,,,,,,QB
65568-22994,QB,Case,Case Keenum,Keenum,0.11999999731779099,2,6000,DEN@CLE,CLE,DEN,,,,,,QB
65568-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,6000,DET@LAR,DET,LAR,,,,,,QB
65568-61982,QB,Tommy,Tommy Stevens,Stevens,2.4000000953674316,1,6000,CAR@NYG,NYG,CAR,,,,,,QB
65568-41562,QB,Nick,Nick Mullens,Mullens,11.66181807084517,11,6000,DEN@CLE,CLE,DEN,,,,,,QB
65568-64115,QB,Steven,Steven Montez,Montez,0,1,6000,DET@LAR,DET,LAR,,,,,,QB
65568-31394,WR,Jarvis,Jarvis Landry,Landry,9.149999618530273,2,6000,DEN@CLE,CLE,DEN,IR,Knee - mcl,,,,WR/FLEX
65568-72412,RB,Khalil,Khalil Herbert,Herbert,5.279999923706055,5,6000,CHI@TB,CHI,TB,,,,,,RB/FLEX
65568-41827,QB,P.J.,P.J. Walker,Walker,2.7040000915527345,5,6000,CAR@NYG,CAR,NYG,,,,,,QB
65568-39793,TE,George,George Kittle,Kittle,8.274999618530273,4,6000,IND@SF,SF,IND,IR,Calf,,,,TE/FLEX
65568-62364,QB,Josh,Josh Rosen,Rosen,0,1,6000,ATL@MIA,ATL,MIA,,,,,,QB
65568-29605,QB,Matt,Matt Barkley,Barkley,2.569999933242798,4,6000,KC@TEN,TEN,KC,,,,,,QB
